,time_code,emotion_values.disgust,emotion_values.joy,emotion_values.grief,emotion_values.outofbreath,emotion_values.pain,emotion_values.amazement,emotion_values.anger,emotion_values.cheekiness,emotion_values.sadness,emotion_values.fear
0,0.03331249952316284,0.0,0.02379225380718708,0.0,0.0,0.0,0.0,0.012514078058302402,0.0,0.0,0.014590310864150524
1,0.06662499904632568,0.0,0.02490255981683731,0.0,0.0,0.0,0.0,0.013098067604005337,0.0,0.0,0.015271192416548729
2,0.1666249930858612,0.0,0.02671605721116066,0.0,0.0,0.0,0.0,0.014051917940378189,0.0,0.0,0.016383299604058266
3,0.20000000298023224,0.0,0.028952706605196,0.0,0.0,0.0,0.0,0.015228334814310074,0.0,0.0,0.017754895612597466
4,0.23331250250339508,0.0,0.031421080231666565,0.0,0.0,0.0,0.0,0.016526632010936737,0.0,0.0,0.019268594682216644
5,0.26662498712539673,0.0,0.03399147838354111,0.0,0.0,0.0,0.0,0.017878592014312744,0.0,0.0,0.02084486186504364
6,0.30000001192092896,0.0,0.03657712787389755,0.0,0.0,0.0,0.0,0.01923857443034649,0.0,0.0,0.022430479526519775
7,0.3333125114440918,0.0,0.03912102431058884,0.0,0.0,0.0,0.0,0.02057659439742565,0.0,0.0,0.02399049513041973
8,0.36662501096725464,0.0,0.04158676788210869,0.0,0.0,0.0,0.0,0.021873507648706436,0.0,0.0,0.025502583011984825
9,0.4000000059604645,0.0,0.04395213723182678,0.0,0.0,0.0,0.0,0.02311762422323227,0.0,0.0,0.026953114196658134
10,0.4333125054836273,0.0,0.046204615384340286,0.0,0.0,0.0,0.0,0.024302368983626366,0.0,0.0,0.028334422037005424
11,0.46662500500679016,0.0,0.051830846816301346,0.0,0.0,0.0,0.0,0.02559122070670128,0.0,0.0,0.028705377131700516
12,0.499937504529953,0.0,0.059548743069171906,0.0,0.0,0.0,0.0,0.026922311633825302,0.0,0.0,0.028408821672201157
13,0.5333124995231628,0.0,0.06847883015871048,0.0,0.0,0.0,0.0,0.028254380449652672,0.0,0.0,0.02768208645284176
14,0.5666249990463257,0.0,0.07802228629589081,0.0,0.0,0.0,0.0,0.02956044115126133,0.0,0.0,0.0266888365149498
15,0.6000000238418579,0.0,0.08777560293674469,0.0,0.0,0.0,0.0,0.030823394656181335,0.0,0.0,0.025541329756379128
16,0.6333125233650208,0.0,0.0974709689617157,0.0,0.0,0.0,0.0,0.03203292563557625,0.0,0.0,0.024315988644957542
17,0.6666250228881836,0.0,0.1069345623254776,0.0,0.0,0.0,0.0,0.03318335860967636,0.0,0.0,0.023064304143190384
